Trap,Camera,Latitude,Longitude,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,sessionCol,TrailType,CameraType
PS1,CamA,-32.67982,152.18388,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS1,CamB,-32.67982,152.18388,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS2,CamA,-32.657412,152.185272,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS2,CamB,-32.657412,152.185272,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS3,CamA,-32.63617,152.20218,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS3,CamB,-32.63617,152.20218,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS4,CamA,-32.60925,152.2137,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS4,CamB,-32.60925,152.2137,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS5,CamA,-32.60284,152.23293,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS5,CamB,-32.60284,152.23293,02/12/2021,30/01/2022,02/12/2021,17/12/2021,,,1,4wdtrack,Trail
PS6,CamA,-32.58665,152.27344,02/12/2021,30/01/2022,02/12/2021,17/12/2021,,,1,4wdtrack,Trail
PS6,CamB,-32.58665,152.27344,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS7,CamA,-32.56103,152.28714,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS7,CamB,-32.56103,152.28714,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS8,CamA,-32.53981,152.3132,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS8,CamB,-32.53981,152.3132,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS9,CamA,-32.51167,152.32956,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS9,CamB,-32.51167,152.32956,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS10,CamA,-32.50121,152.32883,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS10,CamB,-32.50121,152.32883,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS11,CamA,-32.48169,152.35347,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS11,CamB,-32.48169,152.35347,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS12,CamA,-32.5004,152.3555,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS12,CamB,-32.5004,152.3555,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS13,CamA,-32.4571,152.38283,02/12/2021,30/01/2022,18/12/2021,23/01/2022,,,1,4wdtrack,Trail
PS13,CamB,-32.4571,152.38283,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS14,CamA,-32.48103,152.39821,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS14,CamB,-32.48103,152.39821,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS15,CamA,-32.46137,152.42685,02/12/2021,30/01/2022,02/12/2021,18/12/2021,,,1,Unsealedroad,Trail
PS15,CamB,-32.46137,152.42685,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS16,CamA,-32.44598,152.43916,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS16,CamB,-32.44598,152.43916,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS17,CamA,-32.42615,152.47166,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS17,CamB,-32.42615,152.47166,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS18,CamA,-32.46056,152.46057,02/12/2021,30/01/2022,02/12/2021,19/12/2021,,,1,4wdtrack,Trail
PS18,CamB,-32.46056,152.46057,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS19,CamA,-32.44154,152.49286,02/12/2021,30/01/2022,02/12/2021,19/12/2021,,,1,4wdtrack,Trail
PS19,CamB,-32.44154,152.49286,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS20,CamA,-32.39972,152.50082,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS20,CamB,-32.39972,152.50082,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS21,CamA,-32.43413,152.51566,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS21,CamB,-32.43413,152.51566,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS22,CamA,-32.40055,152.46797,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS22,CamB,-32.40055,152.46797,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS1,CamA,-32.67982,152.18388,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS1,CamB,-32.67982,152.18388,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS2,CamA,-32.657412,152.185272,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS2,CamB,-32.657412,152.185272,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS3,CamA,-32.63617,152.20218,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS3,CamB,-32.63617,152.20218,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS4,CamA,-32.60925,152.2137,31/01/2022,4/03/2022,,,,,2,Walktrail,Trail
PS4,CamB,-32.60925,152.2137,31/01/2022,4/03/2022,,,,,2,Walktrail,Trail
PS5,CamA,-32.60284,152.23293,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS5,CamB,-32.60284,152.23293,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS6,CamA,-32.58665,152.27344,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS6,CamB,-32.58665,152.27344,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS7,CamA,-32.56103,152.28714,31/01/2022,4/03/2022,,,,,2,Walktrail,Trail
PS7,CamB,-32.56103,152.28714,31/01/2022,4/03/2022,,,,,2,Walktrail,Trail
PS8,CamA,-32.53981,152.3132,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS8,CamB,-32.53981,152.3132,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS9,CamA,-32.51167,152.32956,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS9,CamB,-32.51167,152.32956,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS10,CamA,-32.50121,152.32883,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS10,CamB,-32.50121,152.32883,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS11,CamA,-32.48169,152.35347,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS11,CamB,-32.48169,152.35347,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS12,CamA,-32.5004,152.3555,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS12,CamB,-32.5004,152.3555,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS13,CamA,-32.4571,152.38283,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS13,CamB,-32.4571,152.38283,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS14,CamA,-32.48103,152.39821,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS14,CamB,-32.48103,152.39821,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS15,CamA,-32.46137,152.42685,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS15,CamB,-32.46137,152.42685,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS16,CamA,-32.44598,152.43916,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS16,CamB,-32.44598,152.43916,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS17,CamA,-32.42615,152.47166,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS17,CamB,-32.42615,152.47166,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS18,CamA,-32.46056,152.46057,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS18,CamB,-32.46056,152.46057,31/01/2022,31/03/2022,31/03/2022,31/03/2022,,,2,4wdtrack,Trail
PS19,CamA,-32.44154,152.49286,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS19,CamB,-32.44154,152.49286,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS20,CamA,-32.39972,152.50082,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS20,CamB,-32.39972,152.50082,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS21,CamA,-32.43413,152.51566,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS21,CamB,-32.43413,152.51566,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS22,CamA,-32.40055,152.46797,31/01/2022,31/03/2022,31/03/2022,31/03/2022,,,2,Unsealedroad,Trail
PS22,CamB,-32.40055,152.46797,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS23,CamA,-32.568351,152.282358,4/03/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS23,CamB,-32.568351,152.282358,4/03/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS24,CamA,-32.610565,152.216478,4/03/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS24,CamB,-32.610565,152.216478,4/03/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS1,CamA,-32.67982,152.18388,01/04/2022,31/05/2022,2/04/2022,6/04/2022,,,3,Walktrail,Trail
PS1,CamB,-32.67982,152.18388,01/04/2022,31/05/2022,,,,,3,Walktrail,Trail
PS2,CamA,-32.657412,152.185272,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS2,CamB,-32.657412,152.185272,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS3,CamA,-32.63617,152.20218,01/04/2022,31/05/2022,1/04/2022,3/05/2022,,,3,4wdtrack,Trail
PS3,CamB,-32.63617,152.20218,01/04/2022,31/05/2022,10/04/2022,3/05/2022,,,3,4wdtrack,Trail
PS5,CamA,-32.60284,152.23293,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS5,CamB,-32.60284,152.23293,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS6,CamA,-32.58665,152.27344,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS6,CamB,-32.58665,152.27344,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS8,CamA,-32.53981,152.3132,01/04/2022,31/05/2022,5/04/2022,4/05/2022,28/05/2022,31/05/2022,3,Walktrail,Trail
PS8,CamB,-32.53981,152.3132,01/04/2022,31/05/2022,,,,,3,Walktrail,Trail
PS9,CamA,-32.51167,152.32956,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS9,CamB,-32.51167,152.32956,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS10,CamA,-32.50121,152.32883,01/04/2022,31/05/2022,,,,,3,Walktrail,Trail
PS10,CamB,-32.50121,152.32883,01/04/2022,31/05/2022,,,,,3,Walktrail,Trail
PS11,CamA,-32.48169,152.35347,01/04/2022,31/05/2022,,,,,3,Unsealedroad,Trail
PS11,CamB,-32.48169,152.35347,01/04/2022,31/05/2022,,,,,3,Unsealedroad,Trail
PS12,CamA,-32.5004,152.3555,01/04/2022,31/05/2022,,,,,3,Walktrail,Trail
PS12,CamB,-32.5004,152.3555,01/04/2022,31/05/2022,,,,,3,Walktrail,Trail
PS13,CamA,-32.4571,152.38283,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS13,CamB,-32.4571,152.38283,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS14,CamA,-32.48103,152.39821,01/04/2022,31/05/2022,,,,,3,Walktrail,Trail
PS14,CamB,-32.48103,152.39821,01/04/2022,31/05/2022,,,,,3,Walktrail,Trail
PS15,CamA,-32.46137,152.42685,01/04/2022,31/05/2022,,,,,3,Unsealedroad,Trail
PS15,CamB,-32.46137,152.42685,01/04/2022,31/05/2022,,,,,3,Unsealedroad,Trail
PS16,CamA,-32.44598,152.43916,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS16,CamB,-32.44598,152.43916,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS17,CamA,-32.42615,152.47166,01/04/2022,31/05/2022,,,,,3,Unsealedroad,Trail
PS17,CamB,-32.42615,152.47166,01/04/2022,31/05/2022,,,,,3,Unsealedroad,Trail
PS18,CamA,-32.46056,152.46057,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS18,CamB,-32.46056,152.46057,01/04/2022,31/05/2022,01/04/2022,3/05/2022,,,3,4wdtrack,Trail
PS19,CamA,-32.44154,152.49286,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS19,CamB,-32.44154,152.49286,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS20,CamA,-32.39972,152.50082,01/04/2022,30/05/2022,,,,,3,Walktrail,Trail
PS20,CamB,-32.39972,152.50082,01/04/2022,30/05/2022,,,,,3,Walktrail,Trail
PS21,CamA,-32.43413,152.51566,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS21,CamB,-32.43413,152.51566,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS22,CamA,-32.40055,152.46797,01/04/2022,30/05/2022,,,,,3,Unsealedroad,Trail
PS22,CamB,-32.40055,152.46797,01/04/2022,30/05/2022,,,,,3,Unsealedroad,Trail
PS23,CamA,-32.568351,152.282358,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS23,CamB,-32.568351,152.282358,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS24,CamA,-32.610565,152.216478,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS24,CamB,-32.610565,152.216478,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS1,CamA,-32.679857,152.183854,8/12/2022,01/02/2023,,,,,4,Walktrail,Trail
PS1,CamB,-32.679857,152.183854,8/12/2022,01/02/2023,,,,,4,Walktrail,Trail
PS2,CamA,-32.657374,152.185021,9/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS2,CamB,-32.657374,152.185021,9/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS3,CamA,-32.63617,152.20218,9/12/2022,01/02/2023,5/01/2023,10/01/2023,,,4,4wdtrack,Trail
PS3,CamB,-32.63617,152.20218,9/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS5,CamA,-32.60284,152.23293,8/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS5,CamB,-32.60284,152.23293,8/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS6,CamA,-32.5867,152.27344,8/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS6,CamB,-32.5867,152.27344,8/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS9,CamA,-32.51171,152.32962,8/12/2022,01/02/2023,21/12/2022,10/01/2023,,,4,Walktrail,Trail
PS9,CamB,-32.51171,152.32962,8/12/2022,01/02/2023,21/12/2022,10/01/2023,,,4,Walktrail,Trail
PS11,CamA,-32.48169,152.35347,5/12/2022,01/02/2023,5/12/2022,12/01/2023,,,4,Unsealedroad,Trail
PS11,CamB,-32.48169,152.35347,5/12/2022,01/02/2023,5/12/2022,12/01/2023,,,4,Unsealedroad,Trail
PS12,CamA,-32.5004,152.3555,8/12/2022,01/02/2023,,,,,4,Walktrail,Trail
PS12,CamB,-32.5004,152.3555,8/12/2022,01/02/2023,,,,,4,Walktrail,Trail
PS13,CamA,-32.4571,152.38283,5/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS13,CamB,-32.4571,152.38283,5/12/2022,01/02/2023,28/12/2022,9/01/2023,,,4,4wdtrack,Trail
PS14,CamA,-32.480982,152.398208,5/12/2022,01/02/2023,,,,,4,Walktrail,Trail
PS14,CamB,-32.480982,152.398208,5/12/2022,01/02/2023,,,,,4,Walktrail,Trail
PS15,CamA,-32.461081,152.426943,5/12/2022,01/02/2023,,,,,4,Unsealedroad,Trail
PS15,CamB,-32.461081,152.426943,5/12/2022,01/02/2023,,,,,4,Unsealedroad,Trail
PS16,CamA,-32.446479,152.439393,5/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS16,CamB,-32.446479,152.439393,5/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS17,CamA,-32.426053,152.471627,5/12/2022,01/02/2023,5/12/2022,9/01/2023,,,4,Unsealedroad,Trail
PS17,CamB,-32.426053,152.471627,5/12/2022,01/02/2023,,,,,4,Unsealedroad,Trail
PS18,CamA,-32.460609,152.460548,5/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS18,CamB,-32.460609,152.460548,5/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS19,CamA,-32.44154,152.49286,5/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS19,CamB,-32.44154,152.49286,5/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS20,CamA,-32.399632,152.500851,5/12/2022,01/02/2023,,,,,4,Walktrail,Trail
PS20,CamB,-32.399632,152.500851,5/12/2022,01/02/2023,,,,,4,Walktrail,Trail
PS21,CamA,-32.43413,152.51566,6/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS21,CamB,-32.43413,152.51566,6/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS23,CamA,-32.570626,152.283255,8/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS23,CamB,-32.570626,152.283255,8/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS24,CamA,-32.610825,152.216843,8/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS24,CamB,-32.610825,152.216843,8/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS25,CamA,-32.498115,152.309451,5/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS25,CamB,-32.498115,152.309451,5/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS27,CamA,-32.399646,152.470765,7/12/2022,01/02/2023,,,,,4,Unsealedroad,Trail
PS27,CamB,-32.399646,152.470765,7/12/2022,01/02/2023,,,,,4,Unsealedroad,Trail
PS1,CamA,-32.679857,152.183854,02/02/2023,01/04/2023,,,,,5,Walktrail,Trail
PS1,CamB,-32.679857,152.183854,02/02/2023,01/04/2023,,,,,5,Walktrail,Trail
PS2,CamA,-32.657374,152.185021,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS2,CamB,-32.657374,152.185021,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS3,CamA,-32.63617,152.20218,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS3,CamB,-32.63617,152.20218,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS5,CamA,-32.60284,152.23293,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS5,CamB,-32.60284,152.23293,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS6,CamA,-32.5867,152.27344,02/02/2023,01/04/2023,5/02/2023,21/02/2023,,,5,4wdtrack,Trail
PS6,CamB,-32.5867,152.27344,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS9,CamA,-32.51171,152.32962,02/02/2023,01/04/2023,,,,,5,Walktrail,Trail
PS9,CamB,-32.51171,152.32962,02/02/2023,01/04/2023,,,,,5,Walktrail,Trail
PS11,CamA,-32.48169,152.35347,02/02/2023,01/04/2023,,,,,5,Unsealedroad,Trail
PS11,CamB,-32.48169,152.35347,02/02/2023,01/04/2023,20/02/2023,20/03/2023,31/03/2023,01/04/2023,5,Unsealedroad,Trail
PS12,CamA,-32.5004,152.3555,02/02/2023,01/04/2023,,,,,5,Walktrail,Trail
PS12,CamB,-32.5004,152.3555,02/02/2023,01/04/2023,,,,,5,Walktrail,Trail
PS13,CamA,-32.4571,152.38283,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS13,CamB,-32.4571,152.38283,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS14,CamA,-32.480982,152.398208,02/02/2023,01/04/2023,,,,,5,Walktrail,Trail
PS14,CamB,-32.480982,152.398208,02/02/2023,01/04/2023,,,,,5,Walktrail,Trail
PS15,CamA,-32.461081,152.426943,02/02/2023,01/04/2023,,,,,5,Unsealedroad,Trail
PS15,CamB,-32.461081,152.426943,02/02/2023,01/04/2023,,,,,5,Unsealedroad,Trail
PS16,CamA,-32.446479,152.439393,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS16,CamB,-32.446479,152.439393,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS17,CamA,-32.426053,152.471627,02/02/2023,01/04/2023,,,,,5,Unsealedroad,Trail
PS17,CamB,-32.426053,152.471627,02/02/2023,01/04/2023,,,,,5,Unsealedroad,Trail
PS18,CamA,-32.460609,152.460548,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS18,CamB,-32.460609,152.460548,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS19,CamA,-32.44154,152.49286,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS19,CamB,-32.44154,152.49286,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS20,CamA,-32.399632,152.500851,02/02/2023,01/04/2023,,,,,5,Walktrail,Trail
PS20,CamB,-32.399632,152.500851,02/02/2023,01/04/2023,,,,,5,Walktrail,Trail
PS21,CamA,-32.43413,152.51566,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS21,CamB,-32.43413,152.51566,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS23,CamA,-32.570626,152.283255,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS23,CamB,-32.570626,152.283255,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS24,CamA,-32.610825,152.216843,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS24,CamB,-32.610825,152.216843,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS25,CamA,-32.498115,152.309451,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS25,CamB,-32.498115,152.309451,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
PS26,CamA,-32.545576,152.307052,22/02/2023,01/04/2023,,,,,5,Sealedroad,Trail
PS27,CamA,-32.399646,152.470765,02/02/2023,01/04/2023,,,,,5,Unsealedroad,Trail
PS27,CamB,-32.399646,152.470765,02/02/2023,01/04/2023,,,,,5,Unsealedroad,Trail
PS1,CamA,-32.679857,152.183854,02/04/2023,29/05/2023,,,,,6,Walktrail,Trail
PS1,CamB,-32.679857,152.183854,02/04/2023,29/05/2023,,,,,6,Walktrail,Trail
PS2,CamA,-32.657374,152.185021,02/04/2023,29/05/2023,,,,,6,4wdtrack,Trail
PS2,CamB,-32.657374,152.185021,02/04/2023,29/05/2023,,,,,6,4wdtrack,Trail
PS3,CamA,-32.63617,152.20218,02/04/2023,29/05/2023,,,,,6,4wdtrack,Trail
PS3,CamB,-32.63617,152.20218,02/04/2023,29/05/2023,,,,,6,4wdtrack,Trail
PS5,CamA,-32.60284,152.23293,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS5,CamB,-32.60284,152.23293,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS6,CamA,-32.5867,152.27344,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS6,CamB,-32.5867,152.27344,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS9,CamA,-32.51171,152.32962,02/04/2023,30/05/2023,,,,,6,Walktrail,Trail
PS9,CamB,-32.51171,152.32962,02/04/2023,30/05/2023,,,,,6,Walktrail,Trail
PS11,CamA,-32.48169,152.35347,02/04/2023,31/05/2023,,,,,6,Unsealedroad,Trail
PS11,CamB,-32.48169,152.35347,02/04/2023,31/05/2023,02/04/2023,27/04/2023,,,6,Unsealedroad,Trail
PS12,CamA,-32.5004,152.3555,02/04/2023,30/05/2023,,,,,6,Walktrail,Trail
PS12,CamB,-32.5004,152.3555,02/04/2023,30/05/2023,,,,,6,Walktrail,Trail
PS13,CamA,-32.4571,152.38283,02/04/2023,31/05/2023,,,,,6,4wdtrack,Trail
PS13,CamB,-32.4571,152.38283,02/04/2023,31/05/2023,,,,,6,4wdtrack,Trail
PS14,CamA,-32.480982,152.398208,02/04/2023,31/05/2023,,,,,6,Walktrail,Trail
PS14,CamB,-32.480982,152.398208,02/04/2023,31/05/2023,,,,,6,Walktrail,Trail
PS15,CamA,-32.461081,152.426943,02/04/2023,31/05/2023,,,,,6,Unsealedroad,Trail
PS15,CamB,-32.461081,152.426943,02/04/2023,31/05/2023,,,,,6,Unsealedroad,Trail
PS16,CamA,-32.446479,152.439393,02/04/2023,31/05/2023,,,,,6,4wdtrack,Trail
PS16,CamB,-32.446479,152.439393,02/04/2023,31/05/2023,,,,,6,4wdtrack,Trail
PS17,CamA,-32.426053,152.471627,02/04/2023,01/06/2023,,,,,6,Unsealedroad,Trail
PS17,CamB,-32.426053,152.471627,02/04/2023,01/06/2023,,,,,6,Unsealedroad,Trail
PS18,CamA,-32.460609,152.460548,02/04/2023,31/05/2023,,,,,6,4wdtrack,Trail
PS18,CamB,-32.460609,152.460548,02/04/2023,31/05/2023,,,,,6,4wdtrack,Trail
PS19,CamA,-32.44154,152.49286,02/04/2023,01/06/2023,,,,,6,4wdtrack,Trail
PS19,CamB,-32.44154,152.49286,02/04/2023,01/06/2023,,,,,6,4wdtrack,Trail
PS20,CamA,-32.399632,152.500851,02/04/2023,01/06/2023,,,,,6,Walktrail,Trail
PS20,CamB,-32.399632,152.500851,02/04/2023,01/06/2023,,,,,6,Walktrail,Trail
PS21,CamA,-32.43413,152.51566,02/04/2023,01/06/2023,,,,,6,4wdtrack,Trail
PS21,CamB,-32.43413,152.51566,02/04/2023,01/06/2023,,,,,6,4wdtrack,Trail
PS23,CamA,-32.570626,152.283255,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS23,CamB,-32.570626,152.283255,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS24,CamA,-32.610825,152.216843,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS24,CamB,-32.610825,152.216843,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS25,CamA,-32.498115,152.309451,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS25,CamB,-32.498115,152.309451,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS26,CamA,-32.545576,152.307052,02/04/2023,12/04/2023,,,,,6,Sealedroad,Trail
PS27,CamA,-32.399646,152.470765,02/04/2023,01/06/2023,,,,,6,Unsealedroad,Trail
PS27,CamB,-32.399646,152.470765,02/04/2023,01/06/2023,,,,,6,Unsealedroad,Trail
